# dump
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.006,0.002,0.008,0.014,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.010,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.002,0.010,0.001,0.000,0.000,0.001,0.003,0.007,0.005,0.001,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.010,0.002,0.001,0.002,0.003,0.011,0.002,0.001,0.001,0.001,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.002,0.001,0.007,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.000,0.000,0.002,0.006,0.004,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.002,0.000,0.000,0.001,0.002,0.012,0.004,0.002,0.000,0.000,0.001,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.006,0.004,0.005,0.008,0.003,0.001,0.001,0.001,0.001,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.006,0.004,0.002,0.003,0.003,0.001,0.000,0.001,0.010,0.002,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.001,0.000,0.001,0.001,0.003,0.002,0.001,0.001,0.000,0.001,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.010,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.009,0.010,0.005,0.002,0.001,0.002,0.001,0.001,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.002,0.001,0.003,0.015,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.001,0.003,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.002,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.012,0.006,0.011,0.015,0.003,0.002,0.005,0.002,0.001,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.003,0.010,0.002,0.000,0.000,0.000,0.000,0.001,0.006,0.001,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.005,0.007,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.005,0.003,0.003,0.002,0.012,0.002,0.002,0.004,0.003,0.001,0.000,0.001,0.011,0.002,0.001,0.001,0.000,0.000,0.000,0.001,0.004,0.002,0.011,0.002,0.003,0.006,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.002,0.001,0.003,0.013,0.011,0.006,0.008,0.002,0.001,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.006,0.003,0.005,0.002,0.000,0.000,0.000,0.001,0.004,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.010,0.010,0.003,0.002,0.008,0.004,0.002,0.002,0.007,0.011,0.001,0.000,0.002,0.008,0.004,0.002,0.001,0.001,0.000,0.001,0.002,0.002,0.006,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.003,0.001,0.000,0.000,0.000,0.003,0.017,0.012,0.002,0.001,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.002,0.003,0.001,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.001,0.000,0.001,0.010,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.005,0.027,0.013,0.002,0.005,0.005,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.005,0.002,0.001,0.001,0.001,0.000,0.001,0.002,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.002,0.006,0.011,0.003,0.004,0.001,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.001,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.012,0.009,0.006,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.003,0.001,0.001,0.005,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.007,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.002,0.003,0.002,0.003,0.011,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.005,0.003,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.008,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.006,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.005,0.006,0.011,0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.001,0.002,0.007,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.001,0.002,0.002,0.007,0.011,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.005
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.001,0.002,0.007,0.022,0.011,0.009,0.012,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.002,0.001,0.010,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.011,0.006,0.003,0.001,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.008,0.013,0.002,0.001,0.001,0.006,0.003,0.001,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.004,0.001,0.001,0.001,0.004,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.005,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.003,0.001,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.006,0.011,0.001,0.000,0.000,0.000,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.001,0.001,0.006,0.011,0.001,0.002,0.013
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.002,0.015,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.002,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.006,0.001,0.000,0.001,0.002,0.003,0.001,0.001,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.002,0.001,0.011,0.002,0.001,0.001,0.002,0.003,0.004,0.002,0.001,0.000,0.000,0.002,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.006,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.002,0.002,0.003,0.003,0.002,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.002,0.007,0.003,0.004,0.007,0.013,0.005,0.004,0.007,0.011,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.015,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.010,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.011,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.002,0.000
0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.002,0.003,0.002,0.002,0.007,0.002,0.001,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.002,0.010,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.006,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.007,0.001,0.001,0.001,0.001,0.002,0.004,0.001,0.000,0.000,0.000,0.001,0.002,0.012,0.014
0.000,0.000,0.000,0.000,0.001,0.011,0.006,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.011,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.005,0.002,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.010,0.001,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.011,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000
0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.001,0.003,0.002,0.000,0.001,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.006,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.006,0.002,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.007,0.002,0.002,0.002,0.001,0.001,0.000,0.000,0.001,0.003,0.001,0.001,0.001,0.000,0.000,0.002,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.006,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.002,0.002,0.002,0.001,0.000,0.001,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.006,0.006,0.005,0.012,0.007,0.004,0.001,0.001,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.006,0.002,0.001,0.000,0.000,0.000,0.002,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.005,0.011,0.002,0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.008,0.003,0.000,0.001,0.001,0.001,0.001,0.011,0.007,0.005,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
0.000,0.001,0.001,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.011,0.006,0.004,0.002,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
0.000,0.011,0.006,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.000,0.001,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.010,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.001,0.002,0.003,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.001,0.002,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.006,0.001,0.001,0.004,0.002,0.001,0.001,0.001,0.002,0.011,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.002,0.010,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.002,0.010,0.002,0.000,0.000,0.002,0.007,0.003,0.001,0.004,0.006,0.002,0.001,0.002,0.002,0.003,0.002,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.015
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.002,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.007,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.002,0.001,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.004,0.005,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.007,0.001,0.001,0.000,0.000,0.000,0.002,0.013,0.005,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.006,0.011,0.005,0.001,0.000,0.000,0.000,0.000,0.002,0.003,0.003,0.008
0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.007,0.012,0.002,0.001,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.015,0.004,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.005,0.007,0.001,0.000,0.000,0.000,0.001,0.003,0.014,0.011,0.006,0.003,0.001,0.001,0.000,0.001,0.011,0.007,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.003,0.006,0.001,0.000,0.000,0.000,0.002,0.015,0.002,0.001,0.005
0.001,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.002,0.008,0.014,0.005,0.001,0.001,0.002,0.006,0.001,0.000,0.000,0.001,0.002,0.002,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.004,0.004,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.011,0.006,0.004,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.008,0.012,0.001,0.000,0.000,0.001,0.002,0.002,0.003,0.005,0.005,0.002,0.001,0.001,0.000,0.000,0.001,0.002,0.001,0.000,0.001,0.000,0.001,0.002,0.001,0.000,0.000,0.001,0.010,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.004
